Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	1	ABS	0	0	4	1	24_4_1	NA	NA	0	1	0.743198871613	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	2	ABS	0	0	1	1	24_1_1	NA	NA	0	1	0.581665992737	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	3	3_1	3	1	2	1	23_2_1	1	0	1	0	0.383454084396	-461.0	188.0	-463.0	187.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	4	4_1	4	1	1	1	23_1_1	3	0	1	0	0.369948148727	-5.0	221.0	-7.0	212.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	5	ABS	0	0	4	1	24_4_1	NA	NA	0	1	0.509788990021	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	6	ABS	0	0	2	1	24_2_1	NA	NA	0	1	0.834393024445	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	7	ABS	0	0	4	1	24_4_1	NA	NA	0	1	0.731419086456	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	8	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.01120305061	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	9	1_1	1	1	2	1	23_2_1	1	0	0	1	0.790200948715	143.0	249.0	None	None	0
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	10	2_1	2	1	4	1	23_4_1	2	0	1	0	0.449275970459	309.0	53.0	303.0	50.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	11	4_1	4	1	2	1	23_2_1	2	0	1	0	0.368712902069	-201.0	-92.0	-191.0	-90.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	12	4_1	4	1	3	1	23_3_1	1	0	1	0	0.352149963379	453.0	332.0	451.0	326.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	13	2_1	2	1	3	1	23_3_1	1	0	1	0	0.790225028992	-354.0	362.0	-352.0	364.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	14	3_1	3	1	4	1	23_4_1	-1	0	1	0	0.387587070465	-163.0	-315.0	-159.0	-320.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	15	ABS	0	0	3	1	24_3_1	NA	NA	0	1	1.05174803734	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	16	2_1	2	1	1	1	23_1_1	-1	0	0	1	1.18730211258	-189.0	-344.0	None	None	0
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	17	1_1	1	1	3	1	23_3_1	2	0	1	0	0.443036079407	-87.0	-280.0	-91.0	-283.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	18	ABS	0	0	2	1	24_2_1	NA	NA	0	1	0.693280935287	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	19	3_1	3	1	1	1	23_1_1	2	0	1	0	0.446218013763	282.0	-317.0	292.0	-317.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	20	ABS	0	0	3	1	24_3_1	NA	NA	0	1	0.775614976883	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	21	1_1	1	1	4	1	23_4_1	3	0	1	0	0.378585100174	-126.0	-250.0	-123.0	-254.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	22	ABS	0	0	1	1	24_1_1	NA	NA	0	1	0.66300702095	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	23	ABS	0	0	1	1	24_1_1	NA	NA	0	1	0.643482923508	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	24	ABS	0	0	3	1	24_3_1	NA	NA	0	1	0.815371990204	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	25	ABS	0	0	4	1	24_4_1	NA	NA	0	1	0.568969011307	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	26	ABS	0	0	3	1	24_3_1	NA	NA	0	1	0.940284013748	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	27	4_1	4	1	1	1	23_1_1	3	0	1	0	0.363976955414	522.0	305.0	517.0	305.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	28	ABS	0	0	4	1	24_4_1	NA	NA	0	1	0.838299036026	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	29	4_1	4	1	3	1	23_3_1	1	0	1	0	0.386004924774	-212.0	324.0	-206.0	321.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	30	ABS	0	0	3	1	24_3_1	NA	NA	0	1	0.928405046463	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	31	2_1	2	1	4	1	23_4_1	2	0	1	0	0.422785997391	255.0	29.0	251.0	32.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	32	2_1	2	1	1	1	23_1_1	-1	0	0	1	1.13128995895	-504.0	308.0	None	None	0
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	33	3_1	3	1	4	1	23_4_1	-1	0	1	0	0.414586782455	-151.0	-284.0	-150.0	-280.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	34	ABS	0	0	4	1	24_4_1	NA	NA	0	1	1.46947216988	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	35	3_1	3	1	1	1	23_1_1	2	0	1	0	0.57946395874	42.0	-372.0	41.0	-375.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	36	ABS	0	0	3	1	24_3_1	NA	NA	0	1	0.740264177322	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	37	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.43710494041	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	38	1_1	1	1	2	1	23_2_1	1	0	1	0	0.844320058823	-335.0	-315.0	-326.0	-318.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	39	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.16366100311	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	40	2_1	2	1	3	1	23_3_1	1	0	1	0	0.752038002014	105.0	5.0	106.0	-8.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	41	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.59225106239	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	42	3_1	3	1	2	1	23_2_1	1	0	1	0	0.451657056808	-267.0	-326.0	-263.0	-325.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	43	4_1	4	1	2	1	23_2_1	2	0	1	0	0.399149894714	-84.0	37.0	-89.0	38.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	44	1_1	1	1	4	1	23_4_1	3	0	1	0	0.340407133102	-344.0	42.0	-342.0	47.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	45	ABS	0	0	1	1	24_1_1	NA	NA	0	1	0.956790208817	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	46	1_1	1	1	3	1	23_3_1	2	0	1	0	0.451286077499	-6.0	-330.0	-9.0	-328.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	47	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.41058015823	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	48	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.42895007133	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	49	2_1	2	1	3	1	23_3_1	1	0	1	0	0.474978208542	59.0	-58.0	62.0	-64.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	50	ABS	0	0	3	1	24_3_1	NA	NA	0	1	1.12842202187	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	51	4_1	4	1	1	1	23_1_1	3	0	1	0	0.352243900299	-138.0	-299.0	-130.0	-299.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	52	3_1	3	1	2	1	23_2_1	1	0	1	0	0.474729061127	136.0	2.0	144.0	5.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	53	4_1	4	1	3	1	23_3_1	1	0	1	0	0.369047880173	193.0	-36.0	193.0	-39.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	54	1_1	1	1	3	1	23_3_1	2	0	1	0	0.39924120903	236.0	-53.0	234.0	-60.0	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	55	ABS	0	0	4	1	24_4_1	NA	NA	0	1	0.822571992874	None	None	None	None	1
3.0.1	2019_Mar_10_1455	s	s	5	4	Capacity	56	ABS	0	0	3	1	24_3_1	NA	NA	0	1	0.878808021545	None	None	None	None	1
