Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	1	1_1	1	1	1	3	23_1_3	0	2	1	0	1.41591191292	119.0	259.0	121.0	268.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	2	1_4	1	4	1	2	23_1_2	0	2	1	0	0.519649028778	-62.0	-92.0	-51.0	-91.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	3	1_4	1	4	1	1	23_1_1	0	3	1	0	0.378580093384	382.0	193.0	380.0	192.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	4	1_1	1	1	1	4	23_1_4	0	3	1	0	0.437409162521	-470.0	-43.0	-477.0	-37.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	5	1_3	1	3	1	1	23_1_1	0	2	0	1	0.64617395401	437.0	208.0	None	None	0
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	6	ABS	0	0	1	2	24_1_2	NA	NA	0	1	5.3388478756	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	7	1_2	1	2	1	4	23_1_4	0	2	1	0	0.737417936325	-280.0	-265.0	-286.0	-255.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	8	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.8451859951	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	9	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.73418688774	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	10	1_1	1	1	1	2	23_1_2	0	1	0	1	3.61924505234	133.0	-334.0	None	None	0
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	11	1_4	1	4	1	3	23_1_3	0	1	1	0	0.563816070557	-141.0	-184.0	-134.0	-182.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	12	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.7634780407	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	13	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.81003212929	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	14	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.96605682373	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	15	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.94399189949	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	16	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.35098695755	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	17	1_2	1	2	1	3	23_1_3	0	1	1	0	3.62709307671	-439.0	263.0	-450.0	268.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	18	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.91517996788	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	19	1_3	1	3	1	4	23_1_4	0	-1	1	0	0.710465908051	-16.0	-333.0	-25.0	-327.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	20	1_3	1	3	1	2	23_1_2	0	1	0	1	3.40996813774	141.0	-342.0	None	None	0
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	21	ABS	0	0	1	2	24_1_2	NA	NA	0	1	6.97369217873	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	22	ABS	0	0	1	4	24_1_4	NA	NA	0	1	3.85552597046	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	23	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.65766406059	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	24	1_2	1	2	1	1	23_1_1	0	-1	1	0	1.05788612366	-165.0	-37.0	-168.0	-41.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	25	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.21041297913	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	26	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.30964899063	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	27	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.11571311951	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	28	1_2	1	2	1	4	23_1_4	0	2	1	0	0.497179985046	435.0	-44.0	433.0	-34.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	29	1_4	1	4	1	3	23_1_3	0	1	1	0	0.740653038025	-229.0	381.0	-224.0	391.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	30	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.16570997238	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	31	1_1	1	1	1	2	23_1_2	0	1	1	0	2.11632180214	-500.0	-211.0	-505.0	-220.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	32	ABS	0	0	1	1	24_1_1	NA	NA	0	1	5.25944304466	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	33	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.39833807945	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	34	1_4	1	4	1	2	23_1_2	0	2	1	0	0.613758087158	261.0	330.0	270.0	329.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	35	1_2	1	2	1	1	23_1_1	0	-1	1	0	0.952047109604	-314.0	192.0	-301.0	195.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	36	1_2	1	2	1	3	23_1_3	0	1	1	0	3.44583201408	-133.0	191.0	-134.0	193.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	37	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.53268003464	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	38	1_1	1	1	1	3	23_1_3	0	2	1	0	0.657953977585	-89.0	-91.0	-80.0	-89.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	39	1_3	1	3	1	2	23_1_2	0	1	1	0	1.96806406975	-444.0	-260.0	-447.0	-252.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	40	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.17807579041	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	41	1_3	1	3	1	4	23_1_4	0	-1	1	0	0.46972990036	-316.0	-374.0	-307.0	-378.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	42	ABS	0	0	1	2	24_1_2	NA	NA	0	1	3.50413012505	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	43	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.08596205711	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	44	ABS	0	0	1	1	24_1_1	NA	NA	0	1	3.24551010132	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	45	1_1	1	1	1	4	23_1_4	0	3	1	0	0.427838087082	-125.0	83.0	-131.0	78.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	46	ABS	0	0	1	2	24_1_2	NA	NA	0	1	3.14248800278	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	47	1_3	1	3	1	1	23_1_1	0	2	1	0	0.840093851089	-373.0	-327.0	-368.0	-326.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	48	1_4	1	4	1	1	23_1_1	0	3	1	0	0.473065137863	-320.0	-369.0	-321.0	-375.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	49	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.14437603951	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	50	1_1	1	1	1	4	23_1_4	0	3	1	0	0.672604084015	498.0	-314.0	504.0	-313.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	51	1_2	1	2	1	1	23_1_1	0	-1	1	0	1.93238806725	-366.0	-89.0	-357.0	-90.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	52	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.24576711655	None	None	None	None	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	53	1_4	1	4	1	1	23_1_1	0	3	1	0	0.437397003174	-302.0	-81.0	-295.0	-78.0	1
3.0.1	2019_Mar_10_1557	s	s	10	4	Capacity	54	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.82139396667	None	None	None	None	1
