Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	38	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.62748289108	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	39	4_1	4	1	3	1	23_3_1	1	0	1	0	0.98725104332	-356.0	-338.0	-360.0	-350.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	40	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.78989005089	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	41	ABS	0	0	3	1	24_3_1	NA	NA	0	1	2.13303899765	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	42	4_1	4	1	2	1	23_2_1	2	0	1	0	0.716780900955	187.0	257.0	189.0	263.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	43	ABS	0	0	4	1	24_4_1	NA	NA	0	1	1.50471997261	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	44	1_1	1	1	3	1	23_3_1	2	0	1	0	0.958678007126	-171.0	-129.0	-169.0	-122.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	45	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.58708906174	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	46	ABS	0	0	3	1	24_3_1	NA	NA	0	1	1.78005099297	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	47	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.48417592049	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	48	1_1	1	1	2	1	23_2_1	1	0	0	1	1.70880508423	-375.0	-169.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	49	2_1	2	1	4	1	23_4_1	2	0	1	0	0.827659130096	157.0	-206.0	150.0	-202.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	50	ABS	0	0	3	1	24_3_1	NA	NA	0	1	2.33393406868	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	51	4_1	4	1	2	1	23_2_1	2	0	1	0	0.722049951553	325.0	-135.0	320.0	-136.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	52	ABS	0	0	4	1	24_4_1	NA	NA	0	1	1.58073496819	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	53	4_1	4	1	3	1	23_3_1	1	0	1	0	1.06971311569	-60.0	84.0	-54.0	91.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	54	ABS	0	0	4	1	24_4_1	NA	NA	0	1	1.58706998825	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	55	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.81048703194	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	56	3_1	3	1	1	1	23_1_1	2	0	1	0	0.827543020248	505.0	-405.0	500.0	-416.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	57	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.93991804123	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	58	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.76823687553	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	59	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.43000984192	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	60	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.02254199982	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	61	3_1	3	1	2	1	23_2_1	1	0	1	0	0.678572893143	-57.0	-167.0	-54.0	-174.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	62	1_1	1	1	2	1	23_2_1	1	0	0	1	1.60384607315	-187.0	-342.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	63	2_1	2	1	3	1	23_3_1	1	0	1	0	0.838240861893	-409.0	75.0	-395.0	85.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	64	1_1	1	1	3	1	23_3_1	2	0	1	0	0.767772912979	467.0	-87.0	466.0	-84.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	65	3_1	3	1	4	1	23_4_1	-1	0	1	0	0.604639053345	409.0	-164.0	402.0	-168.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	66	2_1	2	1	1	1	23_1_1	-1	0	0	1	1.42528986931	361.0	65.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	67	4_1	4	1	1	1	23_1_1	3	0	1	0	0.528544902802	-12.0	334.0	-15.0	323.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	68	ABS	0	0	4	1	24_4_1	NA	NA	0	1	1.64582800865	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	69	1_1	1	1	4	1	23_4_1	3	0	1	0	0.575577974319	-411.0	-113.0	-415.0	-110.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	70	ABS	0	0	3	1	24_3_1	NA	NA	0	1	2.01052212715	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	71	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.8644888401	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	72	ABS	0	0	3	1	24_3_1	NA	NA	0	1	3.26149201393	None	None	None	None	1
