Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	1	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.986358881	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	2	1_2	1	2	1	1	23_1_1	0	-1	0	1	4.45008397102	-259.0	-50.0	None	None	0
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	3	ABS	0	0	1	2	24_1_2	NA	NA	0	1	5.715321064	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	4	1_3	1	3	1	4	23_1_4	0	-1	1	0	0.952065944672	276.0	-347.0	274.0	-349.0	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	5	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.63348793983	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	6	1_2	1	2	1	4	23_1_4	0	2	1	0	0.65802192688	153.0	-303.0	152.0	-303.0	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	7	1_1	1	1	1	3	23_1_3	0	2	1	0	2.33307600021	270.0	149.0	269.0	152.0	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	8	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.28612804413	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	9	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.84876608849	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	10	1_3	1	3	1	1	23_1_1	0	2	1	0	0.651351928711	-183.0	238.0	-182.0	244.0	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	11	1_4	1	4	1	2	23_1_2	0	2	1	0	0.575586080551	43.0	-335.0	43.0	-338.0	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	12	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.25742816925	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	13	1_3	1	3	1	2	23_1_2	0	1	1	0	4.28042197227	405.0	-23.0	402.0	-22.0	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	14	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.80353713036	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	15	1_2	1	2	1	3	23_1_3	0	1	1	0	1.80458903313	-39.0	-338.0	-39.0	-333.0	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	16	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.48072504997	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	17	ABS	0	0	1	4	24_1_4	NA	NA	0	1	3.03373384476	None	None	None	None	1
3.0.1	2019_Mar_09_1640	s	s	10	3	Capacity	18	ABS	0	0	1	4	24_1_4	NA	NA	0	1	3.83643317223	None	None	None	None	1
