Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	1	1_4	1	4	1	2	23_1_2	0	2	1	0	0.599159002304	-391.0	-181.0	-385.0	-177.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	2	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.01119399071	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	3	1_4	1	4	1	1	23_1_1	0	3	1	0	0.657999038696	-529.0	194.0	-528.0	193.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	4	ABS	0	0	1	2	24_1_2	NA	NA	0	1	1.35222101212	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	5	ABS	0	0	1	4	24_1_4	NA	NA	0	1	0.782126903534	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	6	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.29826211929	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	7	1_2	1	2	1	1	23_1_1	0	-1	0	1	1.12839603424	-364.0	373.0	None	None	0
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	8	1_1	1	1	1	3	23_1_3	0	2	1	0	1.48123478889	409.0	-345.0	412.0	-341.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	9	ABS	0	0	1	3	24_1_3	NA	NA	0	1	1.42242884636	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	10	1_2	1	2	1	4	23_1_4	0	2	1	0	0.720565080643	-316.0	346.0	-311.0	353.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	11	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.19228100777	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	12	1_2	1	2	1	3	23_1_3	0	1	0	1	1.43808484077	-133.0	-358.0	None	None	0
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	13	1_3	1	3	1	2	23_1_2	0	1	0	1	1.20188808441	-343.0	-295.0	None	None	0
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	14	ABS	0	0	1	2	24_1_2	NA	NA	0	1	1.62241196632	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	15	ABS	0	0	1	2	24_1_2	NA	NA	0	1	1.36657619476	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	16	1_3	1	3	1	1	23_1_1	0	2	1	0	0.822573900223	-308.0	88.0	-306.0	88.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	17	1_4	1	4	1	3	23_1_3	0	1	1	0	0.82310795784	-522.0	222.0	-507.0	228.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	18	ABS	0	0	1	3	24_1_3	NA	NA	0	1	1.69799804688	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	19	1_1	1	1	1	2	23_1_2	0	1	0	1	1.39242100716	107.0	19.0	None	None	0
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	20	1_3	1	3	1	4	23_1_4	0	-1	1	0	0.899644851685	-530.0	310.0	-529.0	305.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	21	1_1	1	1	1	4	23_1_4	0	3	1	0	0.846148967743	-379.0	-357.0	-378.0	-356.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	22	ABS	0	0	1	3	24_1_3	NA	NA	0	1	1.38147902489	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	23	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.18720889091	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	24	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.06211709976	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	25	ABS	0	0	1	2	24_1_2	NA	NA	0	1	1.08908700943	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	26	ABS	0	0	1	3	24_1_3	NA	NA	0	1	1.81558895111	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	27	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.11673593521	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	28	1_1	1	1	1	3	23_1_3	0	2	1	0	0.838872909546	-191.0	367.0	-185.0	369.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	29	1_2	1	2	1	4	23_1_4	0	2	1	0	1.2460539341	352.0	-303.0	355.0	-306.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	30	ABS	0	0	1	3	24_1_3	NA	NA	0	1	2.28581905365	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	31	1_2	1	2	1	3	23_1_3	0	1	1	0	1.56083416939	-302.0	214.0	-296.0	215.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	32	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.0843091011	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	33	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.17557811737	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	34	ABS	0	0	1	1	24_1_1	NA	NA	0	1	0.849102020264	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	35	1_4	1	4	1	1	23_1_1	0	3	1	0	0.607715129852	-513.0	107.0	-511.0	106.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	36	1_4	1	4	1	2	23_1_2	0	2	1	0	0.88139796257	-453.0	-344.0	-468.0	-335.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	37	ABS	0	0	1	2	24_1_2	NA	NA	0	1	1.3518679142	None	None	None	None	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	38	1_3	1	3	1	4	23_1_4	0	-1	1	0	0.70498418808	236.0	-314.0	244.0	-315.0	1
3.0.1	2019_Mar_05_1602	s	s	3	3	Capacity	39	1_4	1	4	1	3	23_1_3	0	1	1	0	0.74470281601	-50.0	-156.0	-58.0	-153.0	1
