Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	1	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.55154013634	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	2	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.29778409004	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	3	1_2	1	2	1	4	23_1_4	0	2	1	0	0.54688501358	-218.0	391.0	-222.0	394.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	4	1_1	1	1	1	4	23_1_4	0	3	1	0	0.481539011002	-69.0	96.0	-61.0	97.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	5	1_4	1	4	1	1	23_1_1	0	3	1	0	0.564229011536	269.0	-271.0	269.0	-265.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	6	1_3	1	3	1	1	23_1_1	0	2	1	0	1.20191693306	-411.0	-316.0	-415.0	-309.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	7	1_2	1	2	1	1	23_1_1	0	-1	1	0	0.827394008636	-208.0	-44.0	-208.0	-39.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	8	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.23398590088	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	9	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.78995394707	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	10	1_4	1	4	1	2	23_1_2	0	2	1	0	0.751950979233	-143.0	-202.0	-143.0	-192.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	11	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.88091516495	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	12	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.80965900421	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	13	1_1	1	1	1	2	23_1_2	0	1	0	1	4.1439640522	-498.0	147.0	None	None	0
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	14	1_4	1	4	1	3	23_1_3	0	1	1	0	0.646150112152	-210.0	-373.0	-209.0	-369.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	15	ABS	0	0	1	2	24_1_2	NA	NA	0	1	3.32508587837	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	16	ABS	0	0	1	2	24_1_2	NA	NA	0	1	2.35156607628	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	17	1_1	1	1	1	3	23_1_3	0	2	1	0	1.04611492157	-18.0	-203.0	-18.0	-206.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	18	1_3	1	3	1	2	23_1_2	0	1	0	1	4.76257610321	-272.0	-21.0	None	None	0
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	19	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.43356919289	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	20	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.54518985748	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	21	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.78710079193	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	22	ABS	0	0	1	2	24_1_2	NA	NA	0	1	3.36779689789	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	23	1_3	1	3	1	4	23_1_4	0	-1	1	0	0.721859931946	-270.0	232.0	-264.0	236.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	24	1_2	1	2	1	3	23_1_3	0	1	1	0	2.14276504517	-255.0	220.0	-259.0	223.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	25	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.82224607468	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	26	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.05686092377	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	27	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.97526192665	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	28	1_1	1	1	1	3	23_1_3	0	2	1	0	1.07610177994	-280.0	-350.0	-283.0	-348.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	29	1_3	1	3	1	1	23_1_1	0	2	1	0	0.638123989105	-96.0	-183.0	-91.0	-183.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	30	1_1	1	1	1	4	23_1_4	0	3	1	0	0.50235414505	125.0	-153.0	125.0	-154.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	31	1_4	1	4	1	3	23_1_3	0	1	1	0	1.8987159729	-2.0	221.0	1.0	228.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	32	1_4	1	4	1	2	23_1_2	0	2	1	0	0.556905984879	15.0	-339.0	22.0	-344.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	33	1_4	1	4	1	1	23_1_1	0	3	1	0	0.481554985046	361.0	113.0	363.0	114.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	34	1_2	1	2	1	4	23_1_4	0	2	1	0	0.516769170761	8.0	298.0	9.0	296.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	35	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.74558615685	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	36	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.16303086281	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	37	1_2	1	2	1	1	23_1_1	0	-1	1	0	1.42533111572	29.0	13.0	29.0	12.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	38	1_3	1	3	1	2	23_1_2	0	1	1	0	3.1424369812	-250.0	277.0	-257.0	275.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	39	ABS	0	0	1	2	24_1_2	NA	NA	0	1	2.53979897499	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	40	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.2215821743	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	41	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.45778512955	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	42	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.304874897	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	43	ABS	0	0	1	2	24_1_2	NA	NA	0	1	1.82228398323	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	44	1_3	1	3	1	4	23_1_4	0	-1	1	0	0.822622060776	-112.0	-334.0	-114.0	-332.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	45	1_2	1	2	1	3	23_1_3	0	1	1	0	3.4148440361	375.0	359.0	381.0	358.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	46	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.70887994766	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	47	1_1	1	1	1	2	23_1_2	0	1	0	1	3.24543190002	344.0	-124.0	None	None	0
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	48	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.77468395233	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	49	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.64590597153	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	50	ABS	0	0	1	1	24_1_1	NA	NA	0	1	0.966562986374	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	51	1_3	1	3	1	4	23_1_4	0	-1	1	0	1.10965394974	465.0	-259.0	478.0	-255.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	52	1_4	1	4	1	1	23_1_1	0	3	1	0	0.519725084305	24.0	249.0	29.0	240.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	53	1_3	1	3	1	2	23_1_2	0	1	1	0	1.59884786606	179.0	-407.0	184.0	-412.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	54	ABS	0	0	1	2	24_1_2	NA	NA	0	1	2.6618039608	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	55	1_1	1	1	1	2	23_1_2	0	1	0	1	2.24575710297	-30.0	-407.0	None	None	0
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	56	ABS	0	0	1	2	24_1_2	NA	NA	0	1	2.99850893021	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	57	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.51643109322	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	58	1_4	1	4	1	3	23_1_3	0	1	1	0	0.893258094788	177.0	192.0	172.0	193.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	59	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.81437897682	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	60	1_1	1	1	1	3	23_1_3	0	2	1	0	0.634428024292	121.0	133.0	123.0	127.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	61	ABS	0	0	1	3	24_1_3	NA	NA	0	1	3.97872114182	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	62	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.71650505066	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	63	1_2	1	2	1	1	23_1_1	0	-1	1	0	2.11633300781	209.0	399.0	204.0	402.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	64	1_3	1	3	1	1	23_1_1	0	2	1	0	0.686239957809	-206.0	-196.0	-205.0	-194.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	65	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.23732113838	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	66	ABS	0	0	1	4	24_1_4	NA	NA	0	1	1.75177407265	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	67	1_4	1	4	1	2	23_1_2	0	2	1	0	0.604418992996	-469.0	82.0	-473.0	81.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	68	1_1	1	1	1	4	23_1_4	0	3	1	0	0.510319948196	-98.0	396.0	-101.0	404.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	69	1_2	1	2	1	4	23_1_4	0	2	1	0	0.693236112595	504.0	411.0	499.0	420.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	70	1_2	1	2	1	3	23_1_3	0	1	1	0	1.11663007736	-98.0	275.0	-99.0	265.0	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	71	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.3627948761	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	72	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.30782580376	None	None	None	None	1
3.0.1	2019_Mar_05_1306	s	s	5	2	Capacity	73	1_4	1	4	1	1	23_1_1	0	3	1	0	0.599070072174	-314.0	118.0	-305.0	121.0	1
