Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	1	RC	0	1	23RO	1	0	3.35999703407	338.0	-50.0	338	-46	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	2	ABS	0	2	24RD	0	1	1.6001470089	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	3	RC	0	2	23RD	1	0	0.576565980911	-401.0	-118.0	-409	-115	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	4	ABS	0	1	24RO	0	1	4.56102395058	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	5	RC	0	1	23RO	1	0	1.27055883408	76.0	275.0	68	272	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	6	RC	0	2	23RD	1	0	0.641462087631	488.0	193.0	484	198	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	7	ABS	0	1	24RO	0	1	4.93119692802	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	8	ABS	0	2	24RD	0	1	1.28238105774	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	9	RC	0	2	23RD	1	0	0.535958051682	341.0	160.0	346	162	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	10	ABS	0	1	24RO	0	1	4.78550505638	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	11	ABS	0	2	24RD	0	1	0.658065080643	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	12	RC	0	1	23RO	1	0	1.02339601517	-50.0	69.0	-45	63	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	13	RC	0	1	23RO	0	1	4.97411513329	-476.0	110.0	None	None	0
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	14	RC	0	2	23RD	1	0	0.513245105743	-61.0	11.0	-49	14	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	15	ABS	0	1	24RO	0	1	5.22546386719	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	16	ABS	0	2	24RD	0	1	0.740955114365	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	17	ABS	0	2	24RD	0	1	1.3330950737	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	18	ABS	0	1	24RO	0	1	5.4608168602	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	19	RC	0	1	23RO	1	0	3.73072981834	137.0	-361.0	135	-364	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	20	RC	0	2	23RD	1	0	0.626869916916	-16.0	-221.0	-10	-225	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	21	ABS	0	1	24RO	0	1	5.2206568718	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	22	RC	0	1	23RO	1	0	3.248057127	27.0	167.0	30	163	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	23	RC	0	2	23RD	1	0	0.804354906082	208.0	263.0	203	266	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	24	ABS	0	2	24RD	0	1	1.33783578873	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	25	RC	0	1	23RO	1	0	4.38502788544	161.0	71.0	155	64	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	26	ABS	0	1	24RO	0	1	4.57305788994	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	27	RC	0	2	23RD	1	0	0.576076984406	64.0	201.0	68	209	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	28	ABS	0	2	24RD	0	1	1.25885081291	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	29	RC	0	2	23RD	1	0	0.500707149506	142.0	5.0	147	0	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	30	ABS	0	2	24RD	0	1	1.05589604378	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	31	ABS	0	1	24RO	0	1	5.40245199203	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	32	RC	0	1	23RO	1	0	1.60715293884	-433.0	352.0	-432	355	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	33	ABS	0	1	24RO	0	1	4.62528705597	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	34	RC	0	1	23RO	1	0	4.95488882065	386.0	322.0	385	323	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	35	ABS	0	2	24RD	0	1	1.14095902443	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	36	RC	0	2	23RD	1	0	0.535607099533	-43.0	-159.0	-37	-163	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	37	ABS	0	2	24RD	0	1	0.740851163864	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	38	RC	0	2	23RD	1	0	0.653671979904	534.0	-103.0	540	-103	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	39	RC	0	1	23RO	1	0	0.752696037292	-23.0	-40.0	-18	-37	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	40	ABS	0	1	24RO	0	1	5.6797349453	None	None	None	None	1
1.7	2015_Aug_07_1607	s	s	19	4	Capacity	41	RC	0	1	23RO	1	0	2.8310918808	-80.0	218.0	-78	216	1
