type,target,distractors,color,shape,index
SIC,3_3,23_2_3,2,3,160
SIC,3_3,23_4_3,4,3,161
SIC,3_3,23_1_4,1,4,162
SIC,3_3,23_2_4,2,4,163
SIC,3_3,23_3_4,3,4,164
SIC,3_3,23_4_4,4,4,165
SIC,4_3,23_1_1,1,1,166
SIC,4_3,23_2_1,2,1,167
SIC,4_3,23_3_1,3,1,168
SIC,4_3,23_4_1,4,1,169
SIC,4_3,23_1_2,1,2,170
SIC,4_3,23_2_2,2,2,171
SIC,4_3,23_3_2,3,2,172
SIC,4_3,23_4_2,4,2,173
SIC,4_3,23_1_3,1,3,174
SIC,4_3,23_2_3,2,3,175
SIC,4_3,23_3_3,3,3,176
SIC,4_3,23_1_4,1,4,177
SIC,4_3,23_2_4,2,4,178
SIC,4_3,23_3_4,3,4,179
SIC,4_3,23_4_4,4,4,180
SIC,1_4,23_1_1,1,1,181
SIC,1_4,23_2_1,2,1,182
SIC,1_4,23_3_1,3,1,183
SIC,1_4,23_4_1,4,1,184
SIC,1_4,23_1_2,1,2,185
SIC,1_4,23_2_2,2,2,186
SIC,1_4,23_3_2,3,2,187
SIC,1_4,23_4_2,4,2,188
SIC,1_4,23_1_3,1,3,189
SIC,1_4,23_2_3,2,3,190
SIC,1_4,23_3_3,3,3,191
SIC,1_4,23_4_3,4,3,192
SIC,1_4,23_2_4,2,4,193
SIC,1_4,23_3_4,3,4,194
SIC,1_4,23_4_4,4,4,195
SIC,2_4,23_1_1,1,1,196
SIC,2_4,23_2_1,2,1,197
SIC,2_4,23_3_1,3,1,198
SIC,2_4,23_4_1,4,1,199
SIC,2_4,23_1_2,1,2,200
SIC,2_4,23_2_2,2,2,201
SIC,2_4,23_3_2,3,2,202
SIC,2_4,23_4_2,4,2,203
SIC,2_4,23_1_3,1,3,204
SIC,2_4,23_2_3,2,3,205
SIC,2_4,23_3_3,3,3,206
SIC,2_4,23_4_3,4,3,207
SIC,2_4,23_1_4,1,4,208
SIC,2_4,23_3_4,3,4,209
SIC,2_4,23_4_4,4,4,210
SIC,3_4,23_1_1,1,1,211
SIC,3_4,23_2_1,2,1,212
SIC,3_4,23_3_1,3,1,213
SIC,3_4,23_4_1,4,1,214
SIC,3_4,23_1_2,1,2,215
SIC,3_4,23_2_2,2,2,216
SIC,3_4,23_3_2,3,2,217
SIC,3_4,23_4_2,4,2,218
SIC,3_4,23_1_3,1,3,219
SIC,3_4,23_2_3,2,3,220
SIC,3_4,23_3_3,3,3,221
SIC,3_4,23_4_3,4,3,222
SIC,3_4,23_1_4,1,4,223
SIC,3_4,23_2_4,2,4,224
SIC,3_4,23_4_4,4,4,225
SIC,4_4,23_1_1,1,1,226
SIC,4_4,23_2_1,2,1,227
SIC,4_4,23_3_1,3,1,228
SIC,4_4,23_4_1,4,1,229
SIC,4_4,23_1_2,1,2,230
SIC,4_4,23_2_2,2,2,231
SIC,4_4,23_3_2,3,2,232
SIC,4_4,23_4_2,4,2,233
SIC,4_4,23_1_3,1,3,234
SIC,4_4,23_2_3,2,3,235
SIC,4_4,23_3_3,3,3,236
SIC,4_4,23_4_3,4,3,237
SIC,4_4,23_1_4,1,4,238
SIC,4_4,23_2_4,2,4,239
SIC,4_4,23_3_4,3,4,240
SIC,ABS,24_2_1,2,1,241
SIC,ABS,24_3_1,3,1,242
SIC,ABS,24_4_1,4,1,243
SIC,ABS,24_1_2,1,2,244
SIC,ABS,24_2_2,2,2,245
SIC,ABS,24_3_2,3,2,246
SIC,ABS,24_4_2,4,2,247
SIC,ABS,24_1_3,1,3,248
SIC,ABS,24_2_3,2,3,249
SIC,ABS,24_3_3,3,3,250
SIC,ABS,24_4_3,4,3,251
SIC,ABS,24_1_4,1,4,252
SIC,ABS,24_2_4,2,4,253
SIC,ABS,24_3_4,3,4,254
SIC,ABS,24_4_4,4,4,255
SIC,ABS,24_1_1,1,1,256
SIC,ABS,24_3_1,3,1,257
SIC,ABS,24_4_1,4,1,258
SIC,ABS,24_1_2,1,2,259
SIC,ABS,24_2_2,2,2,260
SIC,ABS,24_3_2,3,2,261
SIC,ABS,24_4_2,4,2,262
SIC,ABS,24_1_3,1,3,263
SIC,ABS,24_2_3,2,3,264
SIC,ABS,24_3_3,3,3,265
SIC,ABS,24_4_3,4,3,266
SIC,ABS,24_1_4,1,4,267
SIC,ABS,24_2_4,2,4,268
SIC,ABS,24_3_4,3,4,269
SIC,ABS,24_4_4,4,4,270
SIC,ABS,24_1_1,1,1,271
SIC,ABS,24_2_1,2,1,272
SIC,ABS,24_4_1,4,1,273
SIC,ABS,24_1_2,1,2,274
SIC,ABS,24_2_2,2,2,275
SIC,ABS,24_3_2,3,2,276
SIC,ABS,24_4_2,4,2,277
SIC,ABS,24_1_3,1,3,278
SIC,ABS,24_2_3,2,3,279
SIC,ABS,24_3_3,3,3,280
SIC,ABS,24_4_3,4,3,281
SIC,ABS,24_1_4,1,4,282
SIC,ABS,24_2_4,2,4,283
SIC,ABS,24_3_4,3,4,284
SIC,ABS,24_4_4,4,4,285
SIC,ABS,24_1_1,1,1,286
SIC,ABS,24_2_1,2,1,287
SIC,ABS,24_3_1,3,1,288
SIC,ABS,24_1_2,1,2,289
SIC,ABS,24_2_2,2,2,290
SIC,ABS,24_3_2,3,2,291
SIC,ABS,24_4_2,4,2,292
SIC,ABS,24_1_3,1,3,293
SIC,ABS,24_2_3,2,3,294
SIC,ABS,24_3_3,3,3,295
SIC,ABS,24_4_3,4,3,296
SIC,ABS,24_1_4,1,4,297
SIC,ABS,24_2_4,2,4,298
SIC,ABS,24_3_4,3,4,299
SIC,ABS,24_4_4,4,4,300
SIC,ABS,24_1_1,1,1,301
SIC,ABS,24_2_1,2,1,302
SIC,ABS,24_3_1,3,1,303
SIC,ABS,24_4_1,4,1,304
SIC,ABS,24_2_2,2,2,305
SIC,ABS,24_3_2,3,2,306
SIC,ABS,24_4_2,4,2,307
SIC,ABS,24_1_3,1,3,308
SIC,ABS,24_2_3,2,3,309
SIC,ABS,24_3_3,3,3,310
SIC,ABS,24_4_3,4,3,311
SIC,ABS,24_1_4,1,4,312
SIC,ABS,24_2_4,2,4,313
SIC,ABS,24_3_4,3,4,314
SIC,ABS,24_4_4,4,4,315
SIC,ABS,24_1_1,1,1,316
SIC,ABS,24_2_1,2,1,317
SIC,ABS,24_3_1,3,1,318
SIC,ABS,24_4_1,4,1,319
SIC,ABS,24_1_2,1,2,320
SIC,ABS,24_3_2,3,2,321
SIC,ABS,24_4_2,4,2,322
SIC,ABS,24_1_3,1,3,323
SIC,ABS,24_2_3,2,3,324
SIC,ABS,24_3_3,3,3,325
SIC,ABS,24_4_3,4,3,326
SIC,ABS,24_1_4,1,4,327
SIC,ABS,24_2_4,2,4,328
SIC,ABS,24_3_4,3,4,329
SIC,ABS,24_4_4,4,4,330
SIC,ABS,24_1_1,1,1,331
SIC,ABS,24_2_1,2,1,332
SIC,ABS,24_3_1,3,1,333
SIC,ABS,24_4_1,4,1,334
SIC,ABS,24_1_2,1,2,335
SIC,ABS,24_2_2,2,2,336
SIC,ABS,24_4_2,4,2,337
SIC,ABS,24_1_3,1,3,338
SIC,ABS,24_2_3,2,3,339
SIC,ABS,24_3_3,3,3,340
SIC,ABS,24_4_3,4,3,341
SIC,ABS,24_1_4,1,4,342
SIC,ABS,24_2_4,2,4,343
SIC,ABS,24_3_4,3,4,344
SIC,ABS,24_4_4,4,4,345
SIC,ABS,24_1_1,1,1,346
SIC,ABS,24_2_1,2,1,347
SIC,ABS,24_3_1,3,1,348
SIC,ABS,24_4_1,4,1,349
SIC,ABS,24_1_2,1,2,350
SIC,ABS,24_2_2,2,2,351
SIC,ABS,24_3_2,3,2,352
SIC,ABS,24_1_3,1,3,353
SIC,ABS,24_2_3,2,3,354
SIC,ABS,24_3_3,3,3,355
SIC,ABS,24_4_3,4,3,356
SIC,ABS,24_1_4,1,4,357
SIC,ABS,24_2_4,2,4,358
SIC,ABS,24_3_4,3,4,359
SIC,ABS,24_4_4,4,4,360
SIC,ABS,24_1_1,1,1,361
SIC,ABS,24_2_1,2,1,362
SIC,ABS,24_3_1,3,1,363
SIC,ABS,24_4_1,4,1,364
SIC,ABS,24_1_2,1,2,365
SIC,ABS,24_2_2,2,2,366
SIC,ABS,24_3_2,3,2,367
SIC,ABS,24_4_2,4,2,368
SIC,ABS,24_2_3,2,3,369
SIC,ABS,24_3_3,3,3,370
SIC,ABS,24_4_3,4,3,371
SIC,ABS,24_1_4,1,4,372
SIC,ABS,24_2_4,2,4,373
SIC,ABS,24_3_4,3,4,374
SIC,ABS,24_4_4,4,4,375
SIC,ABS,24_1_1,1,1,376
SIC,ABS,24_2_1,2,1,377
SIC,ABS,24_3_1,3,1,378
SIC,ABS,24_4_1,4,1,379
SIC,ABS,24_1_2,1,2,380
SIC,ABS,24_2_2,2,2,381
SIC,ABS,24_3_2,3,2,382
SIC,ABS,24_4_2,4,2,383
SIC,ABS,24_1_3,1,3,384
SIC,ABS,24_3_3,3,3,385
SIC,ABS,24_4_3,4,3,386
SIC,ABS,24_1_4,1,4,387
SIC,ABS,24_2_4,2,4,388
SIC,ABS,24_3_4,3,4,389
SIC,ABS,24_4_4,4,4,390
SIC,ABS,24_1_1,1,1,391
