Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	1	RC	0	2	23RD	1	0	1.9148709774	70.0	-39.0	72	-40	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	2	ABS	0	1	24RO	0	1	4.74961900711	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	3	RC	0	1	23RO	1	0	1.7337641716	-409.0	380.0	-416	380	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	4	ABS	0	2	24RD	0	1	1.60012507439	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	5	ABS	0	1	24RO	0	0	-1	None	None	None	None	-1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	6	ABS	0	2	24RD	0	0	-1	None	None	None	None	-1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	7	RC	0	1	23RO	0	1	3.43140101433	76.0	-211.0	None	None	0
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	8	RC	0	2	23RD	1	0	0.599667072296	-228.0	-106.0	-227	-107	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	9	RC	0	2	23RD	0	1	0.853434801102	-540.0	370.0	None	None	0
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	10	ABS	0	1	24RO	0	1	3.49022316933	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	11	ABS	0	2	24RD	0	1	1.3176279068	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	12	RC	0	1	23RO	0	1	9.16861987114	-393.0	-263.0	None	None	0
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	13	RC	0	1	23RO	0	1	3.55410313606	218.0	-46.0	None	None	0
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	14	RC	0	2	23RD	1	0	0.606796979904	-316.0	-55.0	-309	-55	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	15	ABS	0	1	24RO	0	1	9.80160880089	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	16	ABS	0	2	24RD	0	1	1.12438106537	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	17	RC	0	2	23RD	1	0	0.52903008461	-234.0	359.0	-238	349	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	18	RC	0	1	23RO	1	0	3.93594908714	262.0	-7.0	263	-10	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	19	ABS	0	1	24RO	0	1	5.79045796394	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	20	ABS	0	2	24RD	0	1	0.759405136108	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	21	ABS	0	2	24RD	0	1	1.15311408043	None	None	None	None	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	22	RC	0	2	23RD	1	0	0.576105833054	-468.0	-346.0	-470	-345	1
1.7	2015_Jul_24_1514	s	s	6	4	Capacity	23	RC	0	1	23RO	0	1	4.21321892738	415.0	45.0	None	None	0
