type,target,distractors,color,shape
SIC,RC,23VD,H,H
SIC,RC,23VO,H,L
SIC,RC,23MD,L,H
SIC,RC,23MO,L,L
SIC,RC,23VC,H,A
SIC,RC,23RD,A,H
SIC,RC,23MC,L,A
SIC,RC,23RO,A,L
SIC,ABS,24VD,H,H
SIC,ABS,24VO,H,L
SIC,ABS,24VC,H,A
SIC,ABS,24MD,L,H
SIC,ABS,24MO,L,L
SIC,ABS,24MC,L,A
SIC,ABS,24RD,A,H
SIC,ABS,24RO,A,L
