Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	1	ABS	1	0	08VC 16MC	0	1	1.13791489601	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	2	RC	1	0	08VC 15MC	1	0	2.77116012573	-162.0	169.0	-164	164	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	3	RC	2	0	15VC 08MC	1	0	1.57012796402	-536.0	-320.0	-528	-320	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	4	ABS	2	0	16VC 08MC	0	1	2.3299100399	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	5	ABS	1	0	08VC 16MC	0	1	1.32941603661	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	6	RC	1	0	08VC 15MC	1	0	1.27066612244	-304.0	-136.0	-301	-137	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	7	ABS	2	0	16VC 08MC	0	1	8.14463496208	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	8	RC	2	0	15VC 08MC	1	0	0.787955999374	431.0	66.0	431	60	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	9	RC	1	0	08VC 15MC	1	0	1.99782896042	-382.0	-130.0	-380	-129	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	10	RC	2	0	15VC 08MC	1	0	1.18804192543	367.0	120.0	375	115	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	11	ABS	1	0	08VC 16MC	0	1	2.95105719566	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	12	ABS	2	0	16VC 08MC	0	1	1.85912895203	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	13	ABS	1	0	08VC 16MC	0	1	3.24422001839	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	14	RC	2	0	15VC 08MC	1	0	0.867028951645	-521.0	20.0	-523	22	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	15	RC	1	0	08VC 15MC	1	0	1.64215683937	-499.0	-396.0	-495	-395	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	16	ABS	2	0	16VC 08MC	0	1	2.12407898903	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	17	ABS	1	0	08VC 16MC	0	1	2.5383541584	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	18	RC	1	0	08VC 15MC	1	0	0.900075912476	-70.0	-292.0	-77	-294	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	19	ABS	2	0	16VC 08MC	0	1	2.20053195953	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	20	RC	2	0	15VC 08MC	1	0	1.73579907417	-224.0	-230.0	-227	-233	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	21	RC	1	0	08VC 15MC	1	0	0.870349884033	-397.0	-79.0	-396	-75	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	22	ABS	1	0	08VC 16MC	0	1	2.29462599754	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	23	RC	2	0	15VC 08MC	1	0	0.787952184677	126.0	-23.0	120	-21	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	24	ABS	2	0	16VC 08MC	0	1	1.93871378899	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	25	RC	1	0	08VC 15MC	1	0	3.56320500374	154.0	-284.0	152	-281	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	26	ABS	1	0	08VC 16MC	0	1	2.7627928257	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	27	ABS	2	0	16VC 08MC	0	1	2.91309809685	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	28	RC	2	0	15VC 08MC	1	0	1.90357398987	-163.0	-360.0	-174	-356	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	29	ABS	1	0	08VC 16MC	0	1	2.32510685921	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	30	RC	2	0	15VC 08MC	0	1	2.41902184486	-136.0	-372.0	None	None	0
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	31	ABS	2	0	16VC 08MC	0	1	2.12980604172	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	32	RC	1	0	08VC 15MC	1	0	1.07051491737	-363.0	330.0	-354	334	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	33	ABS	2	0	16VC 08MC	0	1	1.30317187309	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	34	ABS	1	0	08VC 16MC	0	1	1.93778419495	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	35	RC	2	0	15VC 08MC	1	0	0.854994058609	-150.0	123.0	-146	121	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	36	RC	1	0	08VC 15MC	1	0	1.72518992424	517.0	-238.0	518	-238	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	37	ABS	1	0	08VC 16MC	0	1	1.72716188431	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	38	RC	2	0	15VC 08MC	1	0	0.665555000305	418.0	165.0	423	171	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	39	ABS	2	0	16VC 08MC	0	1	1.60650205612	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	40	RC	1	0	08VC 15MC	1	0	1.06806111336	-506.0	-74.0	-508	-75	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	41	ABS	1	0	08VC 16MC	0	1	2.23564720154	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	42	RC	1	0	08VC 15MC	1	0	0.93842291832	493.0	66.0	501	75	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	43	RC	2	0	15VC 08MC	1	0	0.923516988754	73.0	226.0	74	221	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	44	ABS	2	0	16VC 08MC	0	1	2.18603205681	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	45	ABS	2	0	16VC 08MC	0	1	2.71571779251	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	46	RC	1	0	08VC 15MC	1	0	2.62421107292	-485.0	-88.0	-489	-95	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	47	RC	2	0	15VC 08MC	1	0	0.655037164688	495.0	376.0	500	380	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	48	ABS	1	0	08VC 16MC	0	1	1.79648089409	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	49	ABS	2	0	16VC 08MC	0	1	1.94723892212	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	50	RC	2	0	15VC 08MC	1	0	1.72394800186	-345.0	-399.0	-351	-399	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	51	ABS	1	0	08VC 16MC	0	1	1.1293721199	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	52	RC	1	0	08VC 15MC	1	0	0.773044109344	435.0	344.0	436	331	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	53	RC	2	0	15VC 08MC	1	0	0.870347976685	-33.0	-63.0	-36	-58	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	54	ABS	1	0	08VC 16MC	0	1	1.74760508537	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	55	RC	1	0	08VC 15MC	1	0	1.52553582191	357.0	-373.0	359	-372	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	56	ABS	2	0	16VC 08MC	0	1	1.3125629425	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	57	RC	1	0	08VC 15MC	1	0	0.776237010956	456.0	-156.0	460	-154	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	58	RC	2	0	15VC 08MC	1	0	0.957129955292	216.0	-261.0	218	-259	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	59	ABS	2	0	16VC 08MC	0	1	1.37066888809	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	60	ABS	1	0	08VC 16MC	0	1	1.67090797424	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	61	RC	2	0	15VC 08MC	1	0	0.658634901047	-135.0	-52.0	-137	-52	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	62	ABS	1	0	08VC 16MC	0	1	0.988127946854	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	63	RC	1	0	08VC 15MC	1	0	0.817700862885	-329.0	87.0	-331	82	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	64	ABS	2	0	16VC 08MC	0	1	1.65386104584	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	1	ABS	0	1	08RD 16RO	0	1	3.53918981552	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	2	RC	0	1	08RD 15RO	1	0	1.40605187416	-497.0	169.0	-502	167	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	3	RC	0	2	15RD 08RO	0	1	2.60950899124	293.0	50.0	None	None	0
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	4	ABS	0	2	16RD 08RO	0	1	2.75741410255	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	5	RC	0	2	15RD 08RO	1	0	1.94791388512	433.0	-362.0	435	-361	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	6	ABS	0	1	08RD 16RO	0	1	4.70761299133	None	None	None	None	1
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	7	RC	0	1	08RD 15RO	0	1	5.16665410995	105.0	390.0	None	None	0
2.7	2015_Jun_03_1010	s	s	17	3	Capacity	8	ABS	0	2	16RD 08RO	0	1	2.21211099625	None	None	None	None	1
