Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
2.7	2015_May_06_1304	s	s	5	3	Capacity	1	RC	1	0	08VC 15MC	1	0	2.16516709328	-59.0	326.0	-55	322	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	2	ABS	1	0	08VC 16MC	0	1	3.11614179611	None	None	None	None	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	3	RC	2	0	15VC 08MC	1	0	2.37242293358	244.0	-266.0	253	-269	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	4	ABS	2	0	16VC 08MC	0	1	3.16141915321	None	None	None	None	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	5	RC	1	0	08VC 15MC	1	0	1.10239601135	-461.0	195.0	-466	195	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	6	RC	2	0	15VC 08MC	1	0	1.27760410309	-327.0	-124.0	-327	-125	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	7	ABS	2	0	16VC 08MC	0	1	4.97544407845	None	None	None	None	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	8	ABS	1	0	08VC 16MC	0	1	8.02521181107	None	None	None	None	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	9	RC	2	0	15VC 08MC	1	0	1.0822930336	79.0	-21.0	78	-27	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	10	ABS	1	0	08VC 16MC	0	1	4.07750511169	None	None	None	None	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	11	RC	1	0	08VC 15MC	1	0	1.84736514091	312.0	251.0	313	257	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	12	ABS	2	0	16VC 08MC	0	1	5.24902892113	None	None	None	None	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	13	ABS	1	0	08VC 16MC	0	1	3.86740922928	None	None	None	None	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	14	RC	2	0	15VC 08MC	1	0	2.97728514671	444.0	-243.0	449	-238	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	15	ABS	2	0	16VC 08MC	0	1	3.86724114418	None	None	None	None	1
2.7	2015_May_06_1304	s	s	5	3	Capacity	16	RC	1	0	08VC 15MC	1	0	2.09216308594	210.0	-191.0	209	-190	1
